"day","dish_name","meal_name","ingredient","weight","recipe"
"Dzień 1","Jaja na miękko z warzywami w paseczkach","Śniadanie","Jajko","120 g","Jaja ugotuj na miękko, warzywa pokrój w cienkie słupki dopraw, posyp natką i dodaj oliwę."
"Dzień 1","Jaja na miękko z warzywami w paseczkach","Śniadanie","Chleb żytni razowy","70 g","Jaja ugotuj na miękko, warzywa pokrój w cienkie słupki dopraw, posyp natką i dodaj oliwę."
"Dzień 1","Jaja na miękko z warzywami w paseczkach","Śniadanie","Ogórek","100 g","Jaja ugotuj na miękko, warzywa pokrój w cienkie słupki dopraw, posyp natką i dodaj oliwę."
"Dzień 1","Jaja na miękko z warzywami w paseczkach","Śniadanie","Papryka czerwona słodka","150 g","Jaja ugotuj na miękko, warzywa pokrój w cienkie słupki dopraw, posyp natką i dodaj oliwę."
"Dzień 1","Jaja na miękko z warzywami w paseczkach","Śniadanie","Oliwa z oliwek","5 g","Jaja ugotuj na miękko, warzywa pokrój w cienkie słupki dopraw, posyp natką i dodaj oliwę."
"Dzień 1","Jaja na miękko z warzywami w paseczkach","Śniadanie","Pietruszka natka","6 g","Jaja ugotuj na miękko, warzywa pokrój w cienkie słupki dopraw, posyp natką i dodaj oliwę."
"Dzień 1","Tortilla z awokado i camembertem","Lunch","Tortilla pełnoziarnista","60 g","Na tortilli rozsmaruj awokado, dodaj plasterki sera i warzywa, zawiń."
"Dzień 1","Tortilla z awokado i camembertem","Lunch","Awokado","70 g","Na tortilli rozsmaruj awokado, dodaj plasterki sera i warzywa, zawiń."
"Dzień 1","Tortilla z awokado i camembertem","Lunch","Ser camembert","30 g","Na tortilli rozsmaruj awokado, dodaj plasterki sera i warzywa, zawiń."
"Dzień 1","Tortilla z awokado i camembertem","Lunch","Roszponka","25 g","Na tortilli rozsmaruj awokado, dodaj plasterki sera i warzywa, zawiń."
"Dzień 1","Tortilla z awokado i camembertem","Lunch","Czarnuszka","1 g","Na tortilli rozsmaruj awokado, dodaj plasterki sera i warzywa, zawiń."
"Dzień 1","Jednogarnkowe danie z ziemniakami, cukinią i indykiem","Obiad","Indyk mielony 93% mięso 7% tłuszcz surowy","100 g","Cukinię i ziemniaki obierz i pokrój w talarki. W garnku lub głębokiej patelni rozgrzewamy olej. Dodaj mięso mielone i podsmaż do zarumienienia (ok. 5 minut). Następnie dodaj pokrojone warzywa i smaż całość przez kolejne 5 minut, dokładnie wymieszaj. Dopraw solą, pieprzem, oregano, papryką. Zalej całość do powierzchni warzyw woda/bulionem. Doprowadź do wrzenia i zmniejsz ogień. Danie gotuj na wolnym ogniu, pod częściowym przykryciem przez 20-25 minut. Na koniec posyp posiekaną natką pietruszki lub bazylią."
"Dzień 1","Jednogarnkowe danie z ziemniakami, cukinią i indykiem","Obiad","Ziemniak","125 g","Cukinię i ziemniaki obierz i pokrój w talarki. W garnku lub głębokiej patelni rozgrzewamy olej. Dodaj mięso mielone i podsmaż do zarumienienia (ok. 5 minut). Następnie dodaj pokrojone warzywa i smaż całość przez kolejne 5 minut, dokładnie wymieszaj. Dopraw solą, pieprzem, oregano, papryką. Zalej całość do powierzchni warzyw woda/bulionem. Doprowadź do wrzenia i zmniejsz ogień. Danie gotuj na wolnym ogniu, pod częściowym przykryciem przez 20-25 minut. Na koniec posyp posiekaną natką pietruszki lub bazylią."
